年月,縣市,用電性質,售電量(度),用電佔比(%)
11304,新北市,住宅,626113625,40.39
11304,新北市,服務業,464279639,29.95
11304,新北市,農林漁牧,1465949,0.09
11304,新北市,工業,458442496,29.57
11304,台北市,住宅,361558363,33.26
11304,台北市,服務業,689922641,63.47
11304,台北市,農林漁牧,183807,0.02
11304,台北市,工業,35352634,3.25
11304,桃園市,住宅,422520308,18.32
11304,桃園市,服務業,344649758,14.94
11304,桃園市,農林漁牧,4243842,0.18
11304,桃園市,工業,1534753242,66.55
11304,台中市,住宅,464035338,17.44
11304,台中市,服務業,441915936,16.61
11304,台中市,農林漁牧,13365064,0.5
11304,台中市,工業,1741777870,65.45
11304,台南市,住宅,301073850,11.22
11304,台南市,服務業,245734408,9.15
11304,台南市,農林漁牧,35022104,1.3
11304,台南市,工業,2102450089,78.32
11304,高雄市,住宅,361064009,15.52
11304,高雄市,服務業,428181238,18.41
11304,高雄市,農林漁牧,21622688,0.93
11304,高雄市,工業,1515428852,65.14
11304,宜蘭縣,住宅,77185622,28.21
11304,宜蘭縣,服務業,60041117,21.94
11304,宜蘭縣,農林漁牧,5224202,1.91
11304,宜蘭縣,工業,131174421,47.94
11304,新竹縣,住宅,109404133,11.53
11304,新竹縣,服務業,81006348,8.54
11304,新竹縣,農林漁牧,1694581,0.18
11304,新竹縣,工業,756803612,79.76
11304,苗栗縣,住宅,77540190,12.72
11304,苗栗縣,服務業,50607724,8.3
11304,苗栗縣,農林漁牧,2924665,0.48
11304,苗栗縣,工業,478579635,78.5
11304,彰化縣,住宅,188011189,21.16
11304,彰化縣,服務業,183031342,20.6
11304,彰化縣,農林漁牧,38193268,4.3
11304,彰化縣,工業,479093848,53.93
11304,南投縣,住宅,79664180,33.45
11304,南投縣,服務業,51477858,21.62
11304,南投縣,農林漁牧,10308377,4.33
11304,南投縣,工業,96700049,40.6
11304,雲林縣,住宅,110964560,24.8
11304,雲林縣,服務業,60705876,13.57
11304,雲林縣,農林漁牧,34513338,7.71
11304,雲林縣,工業,241238950,53.92
11304,嘉義縣,住宅,70135464,27.76
11304,嘉義縣,服務業,40720348,16.12
11304,嘉義縣,農林漁牧,22966945,9.09
11304,嘉義縣,工業,118845470,47.04
11304,屏東縣,住宅,121351763,31.24
11304,屏東縣,服務業,95670302,24.63
11304,屏東縣,農林漁牧,62534129,16.1
11304,屏東縣,工業,108929950,28.04
11304,台東縣,住宅,34701962,44.85
11304,台東縣,服務業,30785715,39.79
11304,台東縣,農林漁牧,2452932,3.17
11304,台東縣,工業,9427585,12.19
11304,花蓮縣,住宅,54547963,37.44
11304,花蓮縣,服務業,48278857,33.14
11304,花蓮縣,農林漁牧,2120938,1.46
11304,花蓮縣,工業,40743671,27.97
11304,基隆市,住宅,60658927,52.38
11304,基隆市,服務業,37627830,32.5
11304,基隆市,農林漁牧,445456,0.38
11304,基隆市,工業,17062697,14.74
11304,新竹市,住宅,72134892,10.26
11304,新竹市,服務業,93714264,13.33
11304,新竹市,農林漁牧,727708,0.1
11304,新竹市,工業,536435964,76.31
11304,嘉義市,住宅,39473671,44.44
11304,嘉義市,服務業,41205820,46.39
11304,嘉義市,農林漁牧,739869,0.83
11304,嘉義市,工業,7398303,8.33
11304,澎湖縣,住宅,13860444,41.98
11304,澎湖縣,服務業,14084802,42.66
11304,澎湖縣,農林漁牧,343804,1.04
11304,澎湖縣,工業,4726079,14.31
11304,金門縣,住宅,10060676,46.04
11304,金門縣,服務業,8467101,38.75
11304,金門縣,農林漁牧,287760,1.32
11304,金門縣,工業,3036289,13.89
11304,連江縣,住宅,2272146,40.07
11304,連江縣,服務業,2723899,48.04
11304,連江縣,農林漁牧,5888,0.1
11304,連江縣,工業,668444,11.79
11303,新北市,住宅,640065611,41.23
11303,新北市,服務業,455617674,29.35
